番号,店名,町名,住所,au PAY,d払い,PayPay,楽天ペイ,ジャンル
26,星野水産豊海,入船,中央区入船２－６－１　１Ｆ,●,●,,●,グルメ
27,GRACEGARDEN-BEAUTY,入船,中央区入船２－６－１０,,,●,,ドラッグストア・薬局
28,ＣＡＴＯＲＡ,入船,中央区入船２－９－４－１Ｆ,,,,●,グルメ
29,LEDONIA新富八丁堀店,入船,中央区入船２－９－５ＨＫビル７F,,,●,,エンタメ
30,Maison Michel,入船,中央区入船３－１－１３ＣｅｎｔｅｒＶｉｌｌａｇｅ築地２Ｆ,,,●,,グルメ
31,Ｂａｒ　Ｄｏｏｕｒ,入船,中央区入船３－１－１３ＣＥＮＴＥＲＶＩＬＬＡＧＥ築地３Ｆ,●,,,●,グルメ
32,FEERIE francoise店,入船,中央区入船３－１－１３ＣＥＮＴＥＲＶＩＬＬＡＧＥ築地５Ｆ,,,●,●,美容院・サロン
33,Dryad,入船,中央区入船３－１－４ＴＩビルＢ１～１Ｆ,,,●,,グルメ
34,そらのいろ,入船,中央区入船３－１－６－６０４,,,●,,その他
35,あさみどり,入船,中央区入船３－２－９－１０１,,,,●,グルメ
36,ｐｒｉｍａｖｅｒａ,入船,中央区入船３－２－９－２０３,,●,,,美容院・サロン
37,Ｕｎｉｑｕｅ　Ｏｎｅ,入船,中央区入船３－２－９－６０４,,,,●,その他
38,Angel Nail築地新富町,入船,中央区入船３－２－９築地ハイツ１１０２,●,●,●,●,美容院・サロン
39,nail salon primavera,入船,中央区入船３－２－９築地ハイツ２０３室,,,●,,美容院・サロン
40,義常,入船,中央区入船３－３－１２,●,,●,,グルメ
41,ＭＯＴＨＥＲ　ＢＡＳＥ,入船,中央区入船３－７－２ＫＤＸ銀座イ－ストビル９Ｆ,●,,,●,ショッピング
42,Ｍｆｌｏａｔ,入船,中央区入船３－８－１パ－クアクシス築地２０４,●,,,●,美容院・サロン
43,Ｔｉａｒａ　Ｌｕｘｅ　勝どき店　ネイル,勝どき,中央区勝どき１－１－１,,●,,,美容院・サロン
44,アトリエシュシュ,勝どき,中央区勝どき１－１－１プラザ勝どきＡ６０２,,,●,,エンタメ
45,アイサポ勝どき店,勝どき,中央区勝どき１－３－１,●,●,,,その他
46,勝どき一丁目薬局,勝どき,中央区勝どき１－３－１Ｂｒｉｌｌｉａ　ｉｓｔ　Ｔｏｗｅｒ勝どき１Ｆ,,,●,,ドラッグストア・薬局
47,文化堂　勝どき店,勝どき,中央区勝どき１－７－１,●,●,●,●,ショッピング
48,パンムラカミ,勝どき,中央区勝どき１－７－１,,,●,,ショッピング
49,ととや。,勝どき,中央区勝どき１－７－１,,,●,,グルメ
50,スリスティ勝どき店,勝どき,中央区勝どき１－７－１,●,,●,●,グルメ
51,STAND　Ma2mae,勝どき,中央区勝どき１－７－１サンスクエア１Ｆ１１１,,,●,,グルメ
52,でるでる壺勝どき店,勝どき,中央区勝どき１－７－１サンスクエア２０９,,,●,,グルメ
53,勝どき前スタンド,勝どき,中央区勝どき１－７－１サンスクエアＢ１Ｆ,,,●,,グルメ
54,勝どきそば　よし田,勝どき,中央区勝どき１－７－１サンスクエアビル２Ｆ,,,●,,グルメ
55,旬鮮酒場　八,勝どき,中央区勝どき１－７－１サンスクエアビル２Ｆ２０８－２,●,,,●,グルメ
56,勝どきＳａｋｕ,勝どき,中央区勝どき１－７－１勝どきサンスクウェアビル２Ｆ,,,,●,グルメ
57,炭火ダイニング たつや,勝どき,中央区勝どき１－７－１勝どきサンスクエア２０７,●,,●,●,グルメ
58,ふぐ・季節料理　やまに,勝どき,中央区勝どき１－７－１勝どきサンスクェアＢ１０５,,,●,,グルメ
59,炙匠,勝どき,中央区勝どき１－７－１勝どきサンスクエアＢ１Ｆ,●,,,●,グルメ
60,やまに和膳,勝どき,中央区勝どき１－７－１勝どきサンスクエアＢ１Ｆ１０５,,,,●,グルメ
61,お好焼　勝どき,勝どき,中央区勝どき１－７－１勝どきサンスクエアビル１０６－１,,,●,,グルメ
62,小庵 旬八,勝どき,中央区勝どき１－７－１勝どきサンスクエアビル２Ｆ,,,●,,グルメ
63,なごみ,勝どき,中央区勝どき１－７－１勝どきサンスクエアビルＢ１０３－３,,,●,,グルメ
64,アトリエムジカ勝どき,勝どき,中央区勝どき１－７－２勝どきサンスクエア１２０２,●,,,●,ショッピング
65,Sun Flower Shop kachidoki,勝どき,中央区勝どき１－８－１－１０４,,,●,,ショッピング
66,ＬＩＢＥＲＴＹ－Ｈ,勝どき,中央区勝どき１－８－１－１０６勝どきビュ－タワ－１Ｆ,●,,,●,美容院・サロン
67,和ダイニング,勝どき,中央区勝どき１－８－１勝どきビュータワー２Ｆ,,,●,,グルメ
68,LIBERTY-H【リバティーエイチ勝どき店】,勝どき,中央区勝どき１－８－１勝どきビュ－タワ－１０６,,,●,,美容院・サロン
69,花みつ勝どき店,勝どき,中央区勝どき１－８－１勝どきビュ－タワ－１１２,,,●,,グルメ
70,おうみ歯科クリニック,勝どき,中央区勝どき１－８－１勝どきビュ－タワ－２０７,,,●,,病院・クリニック
71,炭火焼鳥・釜めし　鳥善,勝どき,中央区勝どき１－８－１勝どきビュ－タワ－２１１Ｂ,,●,,,グルメ
72,のみくい処　酒菜や,勝どき,中央区勝どき１－８－１勝どきビュ－タワ－Ｂ１０３Ａ,●,,●,●,グルメ
73,三井ナチュラルガーデン太陽のマルシェ,勝どき,中央区勝どき１－９－８,,,●,,ショッピング
74,FEERIE la merラ・メール店,勝どき,中央区勝どき２－１０－１４ロ－ドスビル２Ｆ,,,●,●,美容院・サロン
75,WAN LABO,勝どき,中央区勝どき２－１０－１４勝どき中央ロ－ドス１０３,,,●,,ショッピング
76,美容整体muchure勝どき店,勝どき,中央区勝どき２－１０－１４勝どき中央ロ－ドス５０５,,,●,,美容院・サロン
77,"nico,sports&health",勝どき,中央区勝どき２－１０－２土信田ビル２０２,,,●,,エンタメ
78,キュリア建築デザイン,勝どき,中央区勝どき２－１０－４宮野海運ビル６Ｆ,●,,,●,ショッピング
79,ＣａＲａＣａＬＬａ,勝どき,中央区勝どき２－１０－９,,,,●,グルメ
80,アピスファーマシーTMアピス薬局勝どき店,勝どき,中央区勝どき２－１１－１０,,,●,,ドラッグストア・薬局
81,焼鳥ホルモンとりとん,勝どき,中央区勝どき２－１１－４,●,,,●,グルメ
82,スタートライン勝どき店,勝どき,中央区勝どき２－１－１４ＯＺＩＯ勝どき１Ｆ,,,●,,その他
83,Wagyu to Worldwide,勝どき,中央区勝どき２−１２−７,,,●,,グルメ
84,大衆バル　Ｒｅｍｏｋｉｃｈｉ,勝どき,中央区勝どき２－１２－９,●,,,●,グルメ
85,楽笑勝どき,勝どき,中央区勝どき２－１３－６,,,●,,グルメ
86,ニジイロ,勝どき,中央区勝どき２－１３－７アバンテ勝どき１Ｆ,,●,,,グルメ
87,餃子酒場勝どき店,勝どき,中央区勝どき２－１４－３,,,●,,グルメ
88,ＷＡＧＡＹＡ,勝どき,中央区勝どき２－１６－２,,,,●,グルメ
89,公益社団法人　日本舞踊協会,勝どき,中央区勝どき２－１８－１レイメイスカイレジテル２１０,,●,,,エンタメ
90,Private Salon BODY Re:set,勝どき,中央区勝どき２ー１５－１メゾンドヴィレ勝どき２０８,,,●,,美容院・サロン
91,焼肉かなう,勝どき,中央区勝どき２ー９－１６勝どきハイデンス５１７コ,,●,,,グルメ
92,FROMAGE（ガレージ）勝どき店,勝どき,中央区勝どき２－４－１１,,,●,,ショッピング
93,うな串 焼鳥 う成ル 勝どき,勝どき,中央区勝どき２－６－８,●,,●,●,グルメ
94,Ｓａｌｏｎ　Ｊｕｗｅｅｌ,勝どき,中央区勝どき２－７－４－１Ｆ,●,,,●,美容院・サロン
95,米くら,勝どき,中央区勝どき２－８−１２,●,●,●,,グルメ
96,まつげ屋勝どき by yumeri lash tokyo,勝どき,中央区勝どき２－８－１２ビュック３１６,,,●,,美容院・サロン
97,勝どき大衆酒場　ドラゴン,勝どき,中央区勝どき２－８－１２東京ＢＵＣ中銀２Ｆ,,,,●,グルメ
98,鳥の助,勝どき,中央区勝どき２－８－１２東京ＢＵＣ中銀Ｂ１Ｆ,,,,●,グルメ
99,ＰＩＮＫＭＯＯＮ,勝どき,中央区勝どき２－８－１２東京ビュック中銀３０４,●,,,●,ファッション
100,クロコCafe965,勝どき,中央区勝どき２－９－１２ＨＢビル勝どき１Ｆ,,,●,,グルメ
101,勝どき鍼灸整骨院,勝どき,中央区勝どき２－９－１４,,,,●,病院・クリニック
102,ひょうたん,勝どき,中央区勝どき２－９－１６勝どきハイデンス１０２,●,●,●,●,グルメ
103,すしいち,勝どき,中央区勝どき２－９－２,,,,●,グルメ
104,YOLO,勝どき,中央区勝どき２－９－２ - １０４,●,●,●,●,グルメ
105,グラス 勝どき店,勝どき,中央区勝どき３－１１－９,●,,,●,グルメ
106,本橋発動機小売,勝どき,中央区勝どき３－１５－３,,,●,,ショッピング
107,勝どきマリーナ,勝どき,中央区勝どき３－１５－３,,,●,,その他
108,ラブスト　リバーサイド店,勝どき,中央区勝どき３－１５－５ＭＲＴビル２Ｆ,●,,,●,エンタメ
109,魚河岸処さより,勝どき,中央区勝どき３－１６－７,●,,●,●,グルメ
110,etonne,勝どき,中央区勝どき３－２－３－４０１,,,●,,ショッピング
111,タモコタモ tamoKotamo,勝どき,中央区勝どき３－２－３－４０１,,,●,,ショッピング
112,魚民　勝どき駅前店,勝どき,中央区勝どき３－３－１０,●,●,,●,グルメ
113,ジャック幼児教育研究所勝どき教室,勝どき,中央区勝どき３－３－１９勝どきグリ－ンランドビル４Ｆ,,,●,,その他
114,和風ダイニング葦駄天IDATEN 勝どき本店,勝どき,中央区勝どき３－３－３勝どき第３関根ビル１０３,●,,●,●,グルメ
115,プロキッチン,勝どき,中央区勝どき３－４－１３日酒販ビル,,,●,,ショッピング
116,MOANA by BalcoNY 勝どき店,勝どき,中央区勝どき３－４－１５勝どき３丁目ビル３Ｆ,●,,●,,美容院・サロン
117,HAIR COMPASS POINT,勝どき,中央区勝どき３－４－１８,●,●,●,,美容院・サロン
118,nail salon 8,勝どき,中央区勝どき３－４－１８－８０２,,●,●,,美容院・サロン
119,アテナかちどき森のおんがく教室,勝どき,中央区勝どき３－４－１８アペニンハイム１Ｆ,,,●,,その他
120,ガイアース,勝どき,中央区勝どき３－４－１８アペニンハイム１Ｆ,●,●,,,その他
121,杉水産本店,勝どき,中央区勝どき３－５－１０,●,●,●,,ショッピング
122,有明こどもクリニック　勝どき院,勝どき,中央区勝どき３－５－５ＡＩＰ勝どき駅前ビル３Ｆ,,●,,,病院・クリニック
123,勝どき肉食イタリアン酒場,勝どき,中央区勝どき３－５－６シャンボ－ル築地１０２,●,,●,●,グルメ
124,エトワール歯科医院,勝どき,中央区勝どき３－５－６シャンボ－ル築地２０４,,,●,,病院・クリニック
125,勝どきネイル,勝どき,中央区勝どき３－５－６ジャンポ－ル築地２Ｆ,●,,●,●,美容院・サロン
126,鮨 向,勝どき,中央区勝どき３－５－９,●,,●,●,グルメ
127,オリミネベーカーズ勝どき店,勝どき,中央区勝どき３－６－３,,,●,,ショッピング
128,ユーゴヘア勝どき,勝どき,中央区勝どき３－６－７ＶＳハイツ１Ｆ,,●,●,,美容院・サロン
129,魚勝,勝どき,中央区勝どき３－８－４,,,,●,グルメ
130,カチトリ,勝どき,中央区勝どき３－８－８,,,,●,グルメ
131,SHARES,勝どき,中央区勝どき３－８－８－１０１,,,●,,グルメ
132,喰い担松元,勝どき,中央区勝どき３－８－８－１０２,,,●,,グルメ
133,楽ちん堂,勝どき,中央区勝どき４－１０－１－２０２,●,,,●,美容院・サロン
134,LIBERTY-L,勝どき,中央区勝どき４－１０－５,,,●,,美容院・サロン
135,TANUKI APPETIZING,勝どき,中央区勝どき４－１０－５としの荘１０３室,,,●,,グルメ
136,クロスハウスSB027 クロス勝どき1,勝どき,中央区勝どき４－１１－１０レジデンス勝どきＢ,,,●,,その他
137,メナードフェイシャルサロン勝どき駅前,勝どき,中央区勝どき４－１－１２勝どき黎明マンション４０１,●,,●,●,ドラッグストア・薬局
138,Deep tin,勝どき,中央区勝どき４－１１－５泉ビル１Ｆ,,,●,,グルメ
139,BAR AIR,勝どき,中央区勝どき４－１１－９Ｌｏｇ勝どき１Ｆ,,,●,,グルメ
140,右近　すず音別邸,勝どき,中央区勝どき４－１２－４,●,●,●,●,グルメ
141,K.e.y 勝どき,勝どき,中央区勝どき４－１－２シャンボ－ル勝どき１０３,●,●,●,,美容院・サロン
142,Bar ＳＮ００ＰＹ,勝どき,中央区勝どき４－１－５,,●,,,グルメ
143,Ｐａｒｆａｉｔ　Ｌａｓｈ　勝どき,勝どき,中央区勝どき４－１－５　３Ｆ,●,●,●,,美容院・サロン
144,SKYWAN!SKYWAN 勝どき校,勝どき,中央区勝どき４－３－１５,,,●,,ショッピング
145,TJ－KACHIDOKI,勝どき,中央区勝どき４－４－９,●,,●,,グルメ
146,株式会社ハナマルワークス,勝どき,中央区勝どき４－４－９,●,●,,,グルメ
147,happily フォトスタジオ勝どき店,勝どき,中央区勝どき４－４－９ＩＳビル４Ｆ,,,●,,その他
148,ウチダＦＣ勝どき売店,勝どき,中央区勝どき４－６鹿島建設内,,,●,,グルメ
149,Ｒｅｏｎｅ,勝どき,中央区勝どき４－８－６レックス勝どきプレミアレジデンス７０２室,,,,●,病院・クリニック
150,ネイルサロン　Chaxrierシャルリエール　勝どき,勝どき,中央区勝どき４－９－１ アティックフェイス２Ａ,,,●,,美容院・サロン
151,トータル エステ サロン ヒーリング ポール,勝どき,中央区勝どき４－９－１ＡＴＴＩＣＦＡＣＥ　３Ｆ,,,●,,美容院・サロン
152,かちどきこども・矯正歯科,勝どき,中央区勝どき４－９－８,●,,●,,病院・クリニック
153,カズアンドカンパニー勝どき店,勝どき,中央区勝どき５－３－１０,,,●,,ショッピング
154,PREZEXUS,勝どき,中央区勝どき５－３－１－１５２０,,,●,,ショッピング
155,kokoroのとびら,勝どき,中央区勝どき５－３－１勝どきザタワ－３００５,,,●,,その他
156,勝どきザタワー　フォレストカフェ,勝どき,中央区勝どき５－３－１勝どきザタワ－内,●,●,●,,グルメ
157,Ｃａｆｅ　ＮＡＯ,勝どき,中央区勝どき５－３－２－１０６,●,●,,●,グルメ
158,ヘアサロンオプティ支店,勝どき,中央区勝どき５－３－２ー１０８勝どきザタワ－,,,●,,美容院・サロン
159,アイテラス,勝どき,中央区勝どき５－５－１４－５０４．ｒａ,,,,●,その他
160,medium,勝どき,中央区勝どき５－５－１４－７１５,,,●,,ショッピング
161,ＢｏｄｙＡｎｇｅ,勝どき,中央区勝どき５－５－１４クレストシティレジデンス２０４,●,,,●,美容院・サロン
162,AROMA ANGEL,勝どき,中央区勝どき５－５－１４クレストシティレジデンス２２８,,,●,,その他
163,あづま給食勝どき店,勝どき,中央区勝どき６－１－１５,,,●,,ショッピング
164,FEERIE the tokyo towersザ トウキョウタワーズ リラクゼーションルーム店,勝どき,中央区勝どき６－３－１ＴＨＥ ＴＯＫＹＯ ＴＯＷＥＲＳ ＳＥＡ ＴＯＷＥＲ ４Ｆ,,,●,●,美容院・サロン
165,株式会社Ｃｏｃｅ,勝どき,中央区勝どき６－３－２,●,,,●,美容院・サロン
166,Ateler c’est bien勝どき教室,勝どき,中央区勝どき６−３−２－２２０９,,,●,,ショッピング
167,Island Gallery,勝どき,中央区勝どき６－３－２－３００７,,,●,,ショッピング
168,早瀬千善,勝どき,中央区勝どき６－３－２－３４２１,,,,●,グルメ
169,柴犬．net,勝どき,中央区勝どき６－３－２－４５１５,●,●,●,●,ショッピング
170,株式会社ブルーマリン,勝どき,中央区勝どき６－３－２ザ・東京タワ－ズミッドタワ－,●,●,,●,その他
171,ドリームバンク,勝どき,中央区勝どき６－３－２ザトウキョウタワ－ズミッドタワ－３１１８,,,,●,その他
172,Ｔｉａｒａ,勝どき,中央区勝どき６－３－２ミッドタワ－５２８,,,,●,ショッピング
173,サンキュウカフェ,勝どき,中央区勝どき６－５－２３山九ビル,●,,,●,グルメ
174,勝どきハンバーグ&ステーキR,勝どき,中央区勝どき中央区勝どき３－５−６,●,,●,●,グルメ
175,とめ手羽八重洲店,京橋,中央区京橋１－１１－２－Ｂ１Ｆ八重洲ＭＩＤビル,,,,●,グルメ
176,ネプロジャパン,京橋,中央区京橋１－１１－８,,,,●,その他
177,アーゲル株式会社 アーゲル本社,京橋,中央区京橋１－１４－５土屋ビル,,,●,,美容院・サロン
178,古美術　藤島古美術藤島,京橋,中央区京橋１－１４－５土屋ビル１Ｆ,,,●,,ショッピング
179,華龍飯店 京橋本店,京橋,中央区京橋１－１４－５土屋ビル１Ｆ,,,●,●,グルメ
180,Antique & CafeAntique ＆ Cafe,京橋,中央区京橋１－１４－６京橋宏陽ビル２Ｆ,,,●,,グルメ
181,星の指輪,京橋,中央区京橋１－１４－６宏陽ビルＢ１Ｆ,●,,,●,グルメ
182,RACCOONCAFE 宝町店,京橋,中央区京橋１－１７－１０住友商事ビル１Ｆ,●,●,●,●,グルメ
183,パウザカフェイタリアーノ,京橋,中央区京橋１－１７－１２ ４Ｆ,●,●,,●,ショッピング
184,東京スタイルみそらーめん ど・みそ鶏,京橋,中央区京橋１－１７－１２吉住ビル１Ｆ,,,●,,グルメ
185,薬局ちぇあーくらぶ京橋店,京橋,中央区京橋１－１７－２,,,●,,ドラッグストア・薬局
186,pro-graphy,京橋,中央区京橋１－１７－３内村京橋ビル３Ｆ,,,●,,その他
187,チャーボン多福楼　京橋店,京橋,中央区京橋１－１９－２鹿島ビル１Ｆ,●,●,,,グルメ
188,大衆食堂フクロウ,京橋,中央区京橋１－１９－８京橋ＯＭビル１Ｆ,●,,●,●,グルメ
189,八重洲歯科クリニック,京橋,中央区京橋１－１－９千疋屋ビル８Ｆ,,,●,,病院・クリニック
190,歯のクリニック東京,京橋,中央区京橋１－２－４八重洲ノリオビル７Ｆ,,,●,,病院・クリニック
191,個室会席 北大路八重洲茶寮,京橋,中央区京橋１－２－５京橋ＴＤビル１Ｆ,●,,●,●,グルメ
192,スピリチュアリー東京・日本橋,京橋,中央区京橋１－３－２モリイチビル９Ｆ　ＫＯＭＡ内,,●,,,その他
193,東京パパカメラ,京橋,中央区京橋１－３－２モリイチビルｉＫａｔ京橋,,●,●,,ショッピング
194,京橋餃子バル福,京橋,中央区京橋１－４－１１竹本ビル,,,●,,グルメ
195,一の倉　京橋店,京橋,中央区京橋１－４－１３セントラル京橋ビルＢ１,,●,●,,グルメ
196,香港酒家 龍記 八重洲店,京橋,中央区京橋１－４－１３初音ビル１Ｆ２Ｆ,,,●,,グルメ
197,豊年満作八重洲店,京橋,中央区京橋１－５－１　１Ｆ,,●,●,,グルメ
198,吉倉　八重洲本店,京橋,中央区京橋１－５－１　Ｂ１Ｆ,●,●,,,グルメ
199,縁喜,京橋,中央区京橋１－５－１昌平ビル５Ｆ６Ｆ,●,●,,,グルメ
200,あまから茶屋,京橋,中央区京橋１－５－８三栄ビル１Ｆ,,●,●,●,グルメ
201,古美術大谷東京店,京橋,中央区京橋１－６－１０ミカタビル,,,●,,ショッピング
202,Brightreat,京橋,中央区京橋１－６－１１カンケン京橋ビル５Ｆ,,,●,,ショッピング
203,天冨良　よこ田 京橋　鮨 よこ田,京橋,中央区京橋１－６－１２京橋イ－サスビルＢ１Ｆ,,,●,,グルメ
204,仙富,京橋,中央区京橋１－６－１３アサワ京橋ビル１Ｆ,,,●,,ショッピング
205,Blue LagoonBTS　OFFICE,京橋,中央区京橋１－６－１３金葉ビルディング６Ｆ／７Ｆ,●,●,●,●,ホテル・旅館
206,去来,京橋,中央区京橋１－６－１４佐伯ビル１Ｆ,,,●,,ショッピング
207,メゾンドネコ,京橋,中央区京橋１－６－１４佐伯ビル２Ｆ,●,,●,,ショッピング
208,がんサポートDr,京橋,中央区京橋１－６－６ハラダビル３Ｆ,●,,●,●,その他
209,八重洲　とり安,京橋,中央区京橋１－６－８コルマ京橋１Ｆ,●,,●,,グルメ
210,galerie non京橋店,京橋,中央区京橋２－１０－１０Ｅビル,,,●,,ショッピング
211,理容室Ｈｏｎｕ,京橋,中央区京橋２－１－１,●,,●,●,美容院・サロン
212,骨董の店 甲斐,京橋,中央区京橋２－１１－１０京清堂ビル２Ｆ,,,●,,ショッピング
213,京橋秘密倶楽部,京橋,中央区京橋２－１１－１０宝鏡堂ビルＢ１Ｆ,●,,●,●,グルメ
214,地酒 十割そば  みや美,京橋,中央区京橋２－１１－５パインセントラルビル１０２,,,●,,グルメ
215,アーティーズ,京橋,中央区京橋２－１１－７サンフラワ－ビル１Ｆ,,,●,,ショッピング
216,四季彩舎,京橋,中央区京橋２－１１－９西堀１１番地ビル２Ｆ,,●,,,ショッピング
217,レストラン サカキ.,京橋,中央区京橋２－１２－１２,,,●,,グルメ
218,こころ整体院京橋宝町院,京橋,中央区京橋２－１２－３京橋センタ－ビル１Ｆ,,,●,,美容院・サロン
219,はんこ屋さんニジュウイチ　京橋店,京橋,中央区京橋２－１２－９,●,●,,,その他
220,ギャルリーフロレゾン,京橋,中央区京橋２－１２－９ＡＣＮビル１０１号室,●,●,,●,ショッピング
221,ハンコ屋さん21京橋店,京橋,中央区京橋２－１２－９寺沢１Ｆ,,,●,,ショッピング
222,カフェアンドダイナーカームス,京橋,中央区京橋２－１３－１０京橋ＭＩＤビル１１Ｆ,,,●,,グルメ
223,ルエールサンク,京橋,中央区京橋２－１８－２明海京橋ビル１Ｆ,,,●,,ショッピング
224,蝋燭屋　京橋エドグラン店,京橋,中央区京橋２－２－１京橋エドグラン,,,,●,グルメ
225,魚金TAVERNA UOKIN 京橋店,京橋,中央区京橋２－２－１京橋エドグラン１Ｆ,,,●,,グルメ
226,ヘアーサロン銀座マツナガ 京橋エドグラン,京橋,中央区京橋２－２－１京橋エドグラン１Ｆ,,,●,,美容院・サロン
227,銀座マツナガ　京橋エドグラン店,京橋,中央区京橋２－２－１京橋エドグラン１Ｆ,,●,●,,美容院・サロン
228,ＰＯＳＴＡＬＣＯ　ＳＨＯＰ,京橋,中央区京橋２－２－１京橋エドグラン１Ｆ,●,,,●,ファッション
229,蕎麦きり　京橋　山茂登,京橋,中央区京橋２－２－１京橋エドグランＢ１,,,●,,グルメ
230,HAPYRESシュラスコ&ビアレストラン ALEGRIA kyobashi,京橋,中央区京橋２－２－１京橋エドグランＢ１Ｆ,●,,●,,グルメ
231,グローバル治療院京橋エドグラン,京橋,中央区京橋２－２－１京橋エドグラン南館２Ｆ,●,●,,,美容院・サロン
232,頤和園京橋店,京橋,中央区京橋２－２－１京橋エドグラン南館６階,●,●,●,●,グルメ
233,シェ・イノ　京橋,京橋,中央区京橋２－４－１６,●,,,●,グルメ
234,創作和食×個室居酒屋 九平次地鶏酒房 とり藤 京橋駅前,京橋,中央区京橋２－５－１７京橋ＳＫビルＢ１Ｆ，Ｂ２Ｆ,,,●,,グルメ
235,地鶏専門個室 玄 京橋店,京橋,中央区京橋２－５－１７京橋ＳＫビルＢ１Ｆ，Ｂ２Ｆ,,,●,,グルメ
236,孔雀画廊,京橋,中央区京橋２－５－１８京橋創生館１Ｆ,●,●,●,,ショッピング
237,はなまるうどん京橋店,京橋,中央区京橋２－５－２２,●,●,,,グルメ
238,直送土風炉京橋店,京橋,中央区京橋２－５－７日土地京橋ビルＢ１,●,●,●,●,グルメ
239,GALLERY　RIN　麟,京橋,中央区京橋２－６－１０宝照ビル１Ｆ,,,●,,ショッピング
240,まんまる京橋,京橋,中央区京橋２－６－１３,●,●,,,グルメ
241,日本橋焼餃子 極 京橋館家,京橋,中央区京橋２－６－１３イーストビル１F,●,,,●,グルメ
242,Kyobashi moto,京橋,中央区京橋２－６－１３イ－ストビル１Ｆ,●,,●,,グルメ
243,Ｂａｒ　Ｐｌａｔａ,京橋,中央区京橋２－６－１３イ－ストビル２０３,●,●,,,グルメ
244,酒処　舌菜魚,京橋,中央区京橋２－６－１３イ－ストビルＢ１Ｆ,●,,●,●,グルメ
245,上海花園,京橋,中央区京橋２－６－１３ヨツギビル１Ｆ,,,●,,グルメ
246,Dobro,京橋,中央区京橋２－６－１４日立第六ビル１Ｆ,,,●,,グルメ
247,林田画廊,京橋,中央区京橋２－６－１６エタ－ナルビル,●,,●,,ショッピング
248,ダイニングステージ アーチ京橋,京橋,中央区京橋２－６－２１パイロット阪急阪神グリ－ンビル７Ｆ,,,●,,グルメ
249,京はし　満津金,京橋,中央区京橋２－６－５,,,●,,ショッピング
250,京橋 鮨 黒潮海閤,京橋,中央区京橋２−６−５ラングタワ－京橋Ｂ１Ｆ,,,●,,グルメ
251,瓢喜　香水亭京橋店,京橋,中央区京橋２－６－６ＪＳＢビル１Ｆ,,,●,,グルメ
252,原井クリニック,京橋,中央区京橋２－６－６藤木ビル２Ｆ,,●,,,病院・クリニック
253,古美術 無門,京橋,中央区京橋２－６－８孤松庵ビル２Ｆ,,,●,,ショッピング
254,金井画廊,京橋,中央区京橋２－６－８仲通りビル１Ｆ,●,●,●,●,その他
